Toss,HH,HT,TH,TT,P(HH),P(HT),P(TH),P(TT)
38, 10, 10, 10, 8, 0.263158, 0.263158, 0.263158, 0.210526
39, 10, 10, 10, 9, 0.25641, 0.25641, 0.25641, 0.230769
40, 10, 10, 11, 9, 0.25, 0.25, 0.275, 0.225
41, 10, 10, 11, 10, 0.243902, 0.243902, 0.268293, 0.243902
42, 10, 11, 11, 10, 0.238095, 0.261905, 0.261905, 0.238095
43, 10, 11, 11, 11, 0.232558, 0.255814, 0.255814, 0.255814
44, 10, 11, 11, 12, 0.227273, 0.25, 0.25, 0.272727
45, 10, 11, 12, 12, 0.222222, 0.244444, 0.266667, 0.266667
46, 10, 12, 12, 12, 0.217391, 0.26087, 0.26087, 0.26087
47, 10, 12, 13, 12, 0.212766, 0.255319, 0.276596, 0.255319
48, 10, 13, 13, 12, 0.208333, 0.270833, 0.270833, 0.25
49, 10, 13, 14, 12, 0.204082, 0.265306, 0.285714, 0.244898
50, 11, 13, 14, 12, 0.22, 0.26, 0.28, 0.24
51, 12, 13, 14, 12, 0.235294, 0.254902, 0.27451, 0.235294
52, 12, 14, 14, 12, 0.230769, 0.269231, 0.269231, 0.230769
53, 12, 15, 14, 12, 0.226415, 0.283019, 0.264151, 0.226415
54, 13, 15, 14, 12, 0.240741, 0.277778, 0.259259, 0.222222
55, 14, 15, 14, 12, 0.254545, 0.272727, 0.254545, 0.218182
56, 15, 15, 14, 12, 0.267857, 0.267857, 0.25, 0.214286
57, 15, 15, 14, 13, 0.263158, 0.263158, 0.245614, 0.22807
58, 15, 16, 14, 13, 0.258621, 0.275862, 0.241379, 0.224138
59, 16, 16, 14, 13, 0.271186, 0.271186, 0.237288, 0.220339
60, 17, 16, 14, 13, 0.283333, 0.266667, 0.233333, 0.216667
61, 17, 17, 14, 13, 0.278689, 0.278689, 0.229508, 0.213115
62, 18, 17, 14, 13, 0.290323, 0.274194, 0.225806, 0.209677
63, 18, 18, 14, 13, 0.285714, 0.285714, 0.222222, 0.206349
64, 18, 18, 15, 13, 0.28125, 0.28125, 0.234375, 0.203125
65, 18, 18, 15, 14, 0.276923, 0.276923, 0.230769, 0.215385
66, 18, 18, 15, 15, 0.272727, 0.272727, 0.227273, 0.227273
67, 18, 19, 15, 15, 0.268657, 0.283582, 0.223881, 0.223881
68, 18, 19, 15, 16, 0.264706, 0.279412, 0.220588, 0.235294
69, 18, 19, 15, 17, 0.26087, 0.275362, 0.217391, 0.246377
70, 18, 19, 16, 17, 0.257143, 0.271429, 0.228571, 0.242857
71, 18, 20, 16, 17, 0.253521, 0.28169, 0.225352, 0.239437
72, 18, 20, 17, 17, 0.25, 0.277778, 0.236111, 0.236111
73, 19, 20, 17, 17, 0.260274, 0.273973, 0.232877, 0.232877
74, 19, 21, 17, 17, 0.256757, 0.283784, 0.22973, 0.22973
75, 19, 21, 18, 17, 0.253333, 0.28, 0.24, 0.226667
76, 20, 21, 18, 17, 0.263158, 0.276316, 0.236842, 0.223684
77, 20, 22, 18, 17, 0.25974, 0.285714, 0.233766, 0.220779
78, 20, 23, 18, 17, 0.25641, 0.294872, 0.230769, 0.217949
79, 20, 23, 18, 18, 0.253165, 0.291139, 0.227848, 0.227848
80, 21, 23, 18, 18, 0.2625, 0.2875, 0.225, 0.225
81, 22, 23, 18, 18, 0.271605, 0.283951, 0.222222, 0.222222
82, 22, 23, 19, 18, 0.268293, 0.280488, 0.231707, 0.219512
83, 22, 23, 19, 19, 0.26506, 0.277108, 0.228916, 0.228916
84, 22, 23, 19, 20, 0.261905, 0.27381, 0.22619, 0.238095
85, 23, 23, 19, 20, 0.270588, 0.270588, 0.223529, 0.235294
86, 23, 23, 19, 21, 0.267442, 0.267442, 0.22093, 0.244186
87, 23, 24, 19, 21, 0.264368, 0.275862, 0.218391, 0.241379
88, 23, 24, 19, 22, 0.261364, 0.272727, 0.215909, 0.25
89, 23, 24, 19, 23, 0.258427, 0.269663, 0.213483, 0.258427
90, 23, 24, 19, 24, 0.255556, 0.266667, 0.211111, 0.266667
91, 23, 24, 20, 24, 0.252747, 0.263736, 0.21978, 0.263736
92, 23, 24, 20, 25, 0.25, 0.26087, 0.217391, 0.271739
93, 23, 24, 21, 25, 0.247312, 0.258065, 0.225806, 0.268817
94, 23, 24, 21, 26, 0.244681, 0.255319, 0.223404, 0.276596
95, 23, 25, 21, 26, 0.242105, 0.263158, 0.221053, 0.273684
96, 23, 25, 22, 26, 0.239583, 0.260417, 0.229167, 0.270833
97, 23, 25, 23, 26, 0.237113, 0.257732, 0.237113, 0.268041
98, 23, 25, 24, 26, 0.234694, 0.255102, 0.244898, 0.265306
99, 23, 26, 24, 26, 0.232323, 0.262626, 0.242424, 0.262626
100, 23, 26, 24, 27, 0.23, 0.26, 0.24, 0.27
101, 23, 27, 24, 27, 0.227723, 0.267327, 0.237624, 0.267327
102, 23, 27, 25, 27, 0.22549, 0.264706, 0.245098, 0.264706
103, 23, 27, 26, 27, 0.223301, 0.262136, 0.252427, 0.262136
104, 24, 27, 26, 27, 0.230769, 0.259615, 0.25, 0.259615
105, 25, 27, 26, 27, 0.238095, 0.257143, 0.247619, 0.257143
106, 25, 27, 26, 28, 0.235849, 0.254717, 0.245283, 0.264151
107, 26, 27, 26, 28, 0.242991, 0.252336, 0.242991, 0.261682
108, 26, 27, 26, 29, 0.240741, 0.25, 0.240741, 0.268519
109, 27, 27, 26, 29, 0.247706, 0.247706, 0.238532, 0.266055
110, 27, 28, 26, 29, 0.245455, 0.254545, 0.236364, 0.263636
111, 28, 28, 26, 29, 0.252252, 0.252252, 0.234234, 0.261261
112, 28, 29, 26, 29, 0.25, 0.258929, 0.232143, 0.258929
113, 28, 29, 26, 30, 0.247788, 0.256637, 0.230088, 0.265487
114, 29, 29, 26, 30, 0.254386, 0.254386, 0.22807, 0.263158
115, 29, 30, 26, 30, 0.252174, 0.26087, 0.226087, 0.26087
116, 29, 30, 26, 31, 0.25, 0.258621, 0.224138, 0.267241
117, 29, 30, 27, 31, 0.247863, 0.25641, 0.230769, 0.264957
118, 30, 30, 27, 31, 0.254237, 0.254237, 0.228814, 0.262712
119, 30, 30, 28, 31, 0.252101, 0.252101, 0.235294, 0.260504
120, 30, 30, 28, 32, 0.25, 0.25, 0.233333, 0.266667
121, 30, 30, 28, 33, 0.247934, 0.247934, 0.231405, 0.272727
122, 30, 31, 28, 33, 0.245902, 0.254098, 0.229508, 0.270492
123, 30, 32, 28, 33, 0.243902, 0.260163, 0.227642, 0.268293
124, 30, 32, 28, 34, 0.241935, 0.258065, 0.225806, 0.274194
125, 30, 33, 28, 34, 0.24, 0.264, 0.224, 0.272
126, 31, 33, 28, 34, 0.246032, 0.261905, 0.222222, 0.269841
127, 31, 34, 28, 34, 0.244094, 0.267717, 0.220472, 0.267717
128, 32, 34, 28, 34, 0.25, 0.265625, 0.21875, 0.265625
129, 32, 34, 29, 34, 0.248062, 0.263566, 0.224806, 0.263566
130, 33, 34, 29, 34, 0.253846, 0.261538, 0.223077, 0.261538
131, 34, 34, 29, 34, 0.259542, 0.259542, 0.221374, 0.259542
132, 35, 34, 29, 34, 0.265152, 0.257576, 0.219697, 0.257576
133, 35, 34, 30, 34, 0.263158, 0.255639, 0.225564, 0.255639
134, 35, 34, 31, 34, 0.261194, 0.253731, 0.231343, 0.253731
135, 36, 34, 31, 34, 0.266667, 0.251852, 0.22963, 0.251852
136, 36, 35, 31, 34, 0.264706, 0.257353, 0.227941, 0.25
137, 37, 35, 31, 34, 0.270073, 0.255474, 0.226277, 0.248175
138, 37, 35, 31, 35, 0.268116, 0.253623, 0.224638, 0.253623
139, 37, 35, 32, 35, 0.266187, 0.251799, 0.230216, 0.251799
140, 37, 35, 33, 35, 0.264286, 0.25, 0.235714, 0.25
141, 37, 35, 33, 36, 0.262411, 0.248227, 0.234043, 0.255319
142, 38, 35, 33, 36, 0.267606, 0.246479, 0.232394, 0.253521
143, 38, 35, 34, 36, 0.265734, 0.244755, 0.237762, 0.251748
144, 39, 35, 34, 36, 0.270833, 0.243056, 0.236111, 0.25
145, 40, 35, 34, 36, 0.275862, 0.241379, 0.234483, 0.248276
146, 40, 35, 35, 36, 0.273973, 0.239726, 0.239726, 0.246575
147, 40, 35, 36, 36, 0.272109, 0.238095, 0.244898, 0.244898
148, 41, 35, 36, 36, 0.277027, 0.236486, 0.243243, 0.243243
149, 41, 35, 37, 36, 0.275168, 0.234899, 0.248322, 0.241611
150, 41, 35, 37, 37, 0.273333, 0.233333, 0.246667, 0.246667
151, 41, 36, 37, 37, 0.271523, 0.238411, 0.245033, 0.245033
152, 41, 37, 37, 37, 0.269737, 0.243421, 0.243421, 0.243421
153, 42, 37, 37, 37, 0.27451, 0.24183, 0.24183, 0.24183
154, 42, 38, 37, 37, 0.272727, 0.246753, 0.24026, 0.24026
155, 42, 39, 37, 37, 0.270968, 0.251613, 0.23871, 0.23871
156, 42, 40, 37, 37, 0.269231, 0.25641, 0.237179, 0.237179
157, 42, 40, 37, 38, 0.267516, 0.254777, 0.235669, 0.242038
158, 42, 40, 38, 38, 0.265823, 0.253165, 0.240506, 0.240506
159, 42, 41, 38, 38, 0.264151, 0.257862, 0.238994, 0.238994
160, 42, 41, 39, 38, 0.2625, 0.25625, 0.24375, 0.2375
161, 43, 41, 39, 38, 0.267081, 0.254658, 0.242236, 0.236025
162, 44, 41, 39, 38, 0.271605, 0.253086, 0.240741, 0.234568
163, 44, 41, 39, 39, 0.269939, 0.251534, 0.239264, 0.239264
164, 44, 42, 39, 39, 0.268293, 0.256098, 0.237805, 0.237805
165, 44, 42, 40, 39, 0.266667, 0.254545, 0.242424, 0.236364
166, 44, 43, 40, 39, 0.26506, 0.259036, 0.240964, 0.23494
167, 44, 43, 40, 40, 0.263473, 0.257485, 0.239521, 0.239521
168, 45, 43, 40, 40, 0.267857, 0.255952, 0.238095, 0.238095
169, 46, 43, 40, 40, 0.272189, 0.254438, 0.236686, 0.236686
170, 46, 43, 41, 40, 0.270588, 0.252941, 0.241176, 0.235294
171, 46, 44, 41, 40, 0.269006, 0.25731, 0.239766, 0.233918
172, 46, 44, 42, 40, 0.267442, 0.255814, 0.244186, 0.232558
173, 46, 45, 42, 40, 0.265896, 0.260116, 0.242775, 0.231214
174, 46, 45, 43, 40, 0.264368, 0.258621, 0.247126, 0.229885
175, 46, 45, 44, 40, 0.262857, 0.257143, 0.251429, 0.228571
176, 47, 45, 44, 40, 0.267045, 0.255682, 0.25, 0.227273
177, 47, 45, 45, 40, 0.265537, 0.254237, 0.254237, 0.225989
178, 47, 45, 45, 41, 0.264045, 0.252809, 0.252809, 0.230337
179, 48, 45, 45, 41, 0.268156, 0.251397, 0.251397, 0.22905
180, 49, 45, 45, 41, 0.272222, 0.25, 0.25, 0.227778
181, 49, 45, 45, 42, 0.270718, 0.248619, 0.248619, 0.232044
182, 50, 45, 45, 42, 0.274725, 0.247253, 0.247253, 0.230769
183, 51, 45, 45, 42, 0.278689, 0.245902, 0.245902, 0.229508
184, 52, 45, 45, 42, 0.282609, 0.244565, 0.244565, 0.228261
185, 52, 45, 46, 42, 0.281081, 0.243243, 0.248649, 0.227027
186, 52, 46, 46, 42, 0.27957, 0.247312, 0.247312, 0.225806
187, 52, 47, 46, 42, 0.278075, 0.251337, 0.245989, 0.224599
188, 52, 47, 46, 43, 0.276596, 0.25, 0.244681, 0.228723
189, 52, 48, 46, 43, 0.275132, 0.253968, 0.243386, 0.227513
190, 52, 48, 46, 44, 0.273684, 0.252632, 0.242105, 0.231579
191, 52, 48, 47, 44, 0.272251, 0.251309, 0.246073, 0.230366
192, 52, 48, 47, 45, 0.270833, 0.25, 0.244792, 0.234375
193, 53, 48, 47, 45, 0.274611, 0.248705, 0.243523, 0.233161
194, 53, 49, 47, 45, 0.273196, 0.252577, 0.242268, 0.231959
195, 53, 49, 48, 45, 0.271795, 0.251282, 0.246154, 0.230769
196, 54, 49, 48, 45, 0.27551, 0.25, 0.244898, 0.229592
197, 55, 49, 48, 45, 0.279188, 0.248731, 0.243655, 0.228426
198, 55, 49, 48, 46, 0.277778, 0.247475, 0.242424, 0.232323
199, 55, 50, 48, 46, 0.276382, 0.251256, 0.241206, 0.231156
200, 55, 50, 48, 47, 0.275, 0.25, 0.24, 0.235
201, 55, 50, 48, 48, 0.273632, 0.248756, 0.238806, 0.238806
202, 55, 50, 48, 49, 0.272277, 0.247525, 0.237624, 0.242574
203, 55, 50, 49, 49, 0.270936, 0.246305, 0.241379, 0.241379
204, 55, 50, 49, 50, 0.269608, 0.245098, 0.240196, 0.245098
205, 55, 50, 50, 50, 0.268293, 0.243902, 0.243902, 0.243902
206, 55, 50, 50, 51, 0.26699, 0.242718, 0.242718, 0.247573
207, 55, 51, 50, 51, 0.2657, 0.246377, 0.241546, 0.246377
208, 56, 51, 50, 51, 0.269231, 0.245192, 0.240385, 0.245192
209, 56, 51, 51, 51, 0.267943, 0.244019, 0.244019, 0.244019
210, 56, 52, 51, 51, 0.266667, 0.247619, 0.242857, 0.242857
211, 56, 53, 51, 51, 0.265403, 0.251185, 0.241706, 0.241706
212, 57, 53, 51, 51, 0.268868, 0.25, 0.240566, 0.240566
213, 57, 53, 52, 51, 0.267606, 0.248826, 0.244131, 0.239437
214, 58, 53, 52, 51, 0.271028, 0.247664, 0.242991, 0.238318
215, 58, 53, 52, 52, 0.269767, 0.246512, 0.24186, 0.24186
216, 59, 53, 52, 52, 0.273148, 0.24537, 0.240741, 0.240741
217, 59, 53, 52, 53, 0.271889, 0.24424, 0.239631, 0.24424
218, 59, 54, 52, 53, 0.270642, 0.247706, 0.238532, 0.243119
219, 59, 54, 52, 54, 0.269406, 0.246575, 0.237443, 0.246575
220, 59, 54, 52, 55, 0.268182, 0.245455, 0.236364, 0.25
221, 60, 54, 52, 55, 0.271493, 0.244344, 0.235294, 0.248869
222, 60, 54, 52, 56, 0.27027, 0.243243, 0.234234, 0.252252
223, 60, 54, 52, 57, 0.269058, 0.242152, 0.233184, 0.255605
224, 60, 55, 52, 57, 0.267857, 0.245536, 0.232143, 0.254464
225, 60, 55, 52, 58, 0.266667, 0.244444, 0.231111, 0.257778
226, 61, 55, 52, 58, 0.269912, 0.243363, 0.230088, 0.256637
227, 61, 55, 53, 58, 0.268722, 0.242291, 0.23348, 0.255507
228, 61, 55, 54, 58, 0.267544, 0.241228, 0.236842, 0.254386
229, 61, 55, 54, 59, 0.266376, 0.240175, 0.235808, 0.257642
230, 61, 55, 54, 60, 0.265217, 0.23913, 0.234783, 0.26087
231, 61, 55, 54, 61, 0.264069, 0.238095, 0.233766, 0.264069
232, 61, 56, 54, 61, 0.262931, 0.241379, 0.232759, 0.262931
233, 61, 57, 54, 61, 0.261803, 0.244635, 0.23176, 0.261803
234, 61, 57, 54, 62, 0.260684, 0.24359, 0.230769, 0.264957
235, 61, 57, 54, 63, 0.259574, 0.242553, 0.229787, 0.268085
236, 61, 58, 54, 63, 0.258475, 0.245763, 0.228814, 0.266949
237, 61, 58, 55, 63, 0.257384, 0.244726, 0.232068, 0.265823
238, 61, 58, 55, 64, 0.256303, 0.243697, 0.231092, 0.268908
239, 61, 59, 55, 64, 0.25523, 0.246862, 0.230126, 0.267782
240, 61, 59, 55, 65, 0.254167, 0.245833, 0.229167, 0.270833
241, 61, 59, 55, 66, 0.253112, 0.244813, 0.228216, 0.273859
242, 61, 60, 55, 66, 0.252066, 0.247934, 0.227273, 0.272727
243, 61, 60, 56, 66, 0.251029, 0.246914, 0.230453, 0.271605
244, 61, 61, 56, 66, 0.25, 0.25, 0.229508, 0.270492
245, 61, 61, 57, 66, 0.24898, 0.24898, 0.232653, 0.269388
246, 61, 62, 57, 66, 0.247967, 0.252033, 0.231707, 0.268293
247, 62, 62, 57, 66, 0.251012, 0.251012, 0.230769, 0.267206
248, 62, 63, 57, 66, 0.25, 0.254032, 0.229839, 0.266129
249, 63, 63, 57, 66, 0.253012, 0.253012, 0.228916, 0.26506
250, 63, 64, 57, 66, 0.252, 0.256, 0.228, 0.264
251, 63, 64, 57, 67, 0.250996, 0.25498, 0.227092, 0.266932
252, 64, 64, 57, 67, 0.253968, 0.253968, 0.22619, 0.265873
253, 64, 64, 58, 67, 0.252964, 0.252964, 0.229249, 0.264822
254, 65, 64, 58, 67, 0.255906, 0.251969, 0.228346, 0.26378
255, 65, 65, 58, 67, 0.254902, 0.254902, 0.227451, 0.262745
256, 65, 65, 59, 67, 0.253906, 0.253906, 0.230469, 0.261719
257, 65, 66, 59, 67, 0.252918, 0.256809, 0.229572, 0.2607
258, 65, 67, 59, 67, 0.251938, 0.25969, 0.228682, 0.25969
259, 65, 67, 60, 67, 0.250965, 0.258687, 0.23166, 0.258687
260, 66, 67, 60, 67, 0.253846, 0.257692, 0.230769, 0.257692
261, 67, 67, 60, 67, 0.256705, 0.256705, 0.229885, 0.256705
262, 67, 68, 60, 67, 0.255725, 0.259542, 0.229008, 0.255725
263, 68, 68, 60, 67, 0.258555, 0.258555, 0.228137, 0.254753
264, 68, 69, 60, 67, 0.257576, 0.261364, 0.227273, 0.253788
265, 68, 70, 60, 67, 0.256604, 0.264151, 0.226415, 0.25283
266, 68, 70, 60, 68, 0.255639, 0.263158, 0.225564, 0.255639
267, 68, 71, 60, 68, 0.254682, 0.265918, 0.224719, 0.254682
268, 68, 72, 60, 68, 0.253731, 0.268657, 0.223881, 0.253731
269, 68, 72, 60, 69, 0.252788, 0.267658, 0.223048, 0.256506
270, 68, 72, 60, 70, 0.251852, 0.266667, 0.222222, 0.259259
271, 68, 72, 61, 70, 0.250923, 0.265683, 0.225092, 0.258303
272, 68, 72, 62, 70, 0.25, 0.264706, 0.227941, 0.257353
273, 68, 72, 63, 70, 0.249084, 0.263736, 0.230769, 0.25641
274, 69, 72, 63, 70, 0.251825, 0.262774, 0.229927, 0.255474
275, 69, 72, 64, 70, 0.250909, 0.261818, 0.232727, 0.254545
276, 70, 72, 64, 70, 0.253623, 0.26087, 0.231884, 0.253623
277, 70, 72, 65, 70, 0.252708, 0.259928, 0.234657, 0.252708
278, 70, 72, 65, 71, 0.251799, 0.258993, 0.233813, 0.255396
279, 70, 72, 66, 71, 0.250896, 0.258065, 0.236559, 0.25448
280, 70, 73, 66, 71, 0.25, 0.260714, 0.235714, 0.253571
281, 70, 74, 66, 71, 0.24911, 0.263345, 0.234875, 0.252669
282, 71, 74, 66, 71, 0.251773, 0.262411, 0.234043, 0.251773
283, 71, 74, 66, 72, 0.250883, 0.261484, 0.233216, 0.254417
284, 71, 74, 66, 73, 0.25, 0.260563, 0.232394, 0.257042
285, 72, 74, 66, 73, 0.252632, 0.259649, 0.231579, 0.25614
286, 72, 74, 66, 74, 0.251748, 0.258741, 0.230769, 0.258741
287, 73, 74, 66, 74, 0.254355, 0.25784, 0.229965, 0.25784
288, 73, 75, 66, 74, 0.253472, 0.260417, 0.229167, 0.256944
289, 73, 75, 66, 75, 0.252595, 0.259516, 0.228374, 0.259516
290, 73, 76, 66, 75, 0.251724, 0.262069, 0.227586, 0.258621
291, 73, 77, 66, 75, 0.250859, 0.264605, 0.226804, 0.257732
292, 73, 77, 67, 75, 0.25, 0.263699, 0.229452, 0.256849
293, 73, 77, 68, 75, 0.249147, 0.262799, 0.232082, 0.255973
294, 73, 78, 68, 75, 0.248299, 0.265306, 0.231293, 0.255102
295, 74, 78, 68, 75, 0.250847, 0.264407, 0.230508, 0.254237
296, 74, 78, 69, 75, 0.25, 0.263514, 0.233108, 0.253378
297, 74, 79, 69, 75, 0.249158, 0.265993, 0.232323, 0.252525
298, 75, 79, 69, 75, 0.251678, 0.265101, 0.231544, 0.251678
299, 75, 80, 69, 75, 0.250836, 0.267559, 0.230769, 0.250836
300, 75, 80, 70, 75, 0.25, 0.266667, 0.233333, 0.25
301, 76, 80, 70, 75, 0.252492, 0.265781, 0.232558, 0.249169
302, 76, 80, 70, 76, 0.251656, 0.264901, 0.231788, 0.251656
303, 77, 80, 70, 76, 0.254125, 0.264026, 0.231023, 0.250825
304, 77, 80, 71, 76, 0.253289, 0.263158, 0.233553, 0.25
305, 77, 80, 71, 77, 0.252459, 0.262295, 0.232787, 0.252459
306, 78, 80, 71, 77, 0.254902, 0.261438, 0.232026, 0.251634
307, 78, 81, 71, 77, 0.254072, 0.263844, 0.23127, 0.250814
308, 79, 81, 71, 77, 0.256494, 0.262987, 0.230519, 0.25
309, 79, 82, 71, 77, 0.255663, 0.265372, 0.229773, 0.249191
310, 79, 82, 72, 77, 0.254839, 0.264516, 0.232258, 0.248387
311, 80, 82, 72, 77, 0.257235, 0.263666, 0.231511, 0.247588
312, 81, 82, 72, 77, 0.259615, 0.262821, 0.230769, 0.246795
313, 82, 82, 72, 77, 0.261981, 0.261981, 0.230032, 0.246006
314, 82, 82, 73, 77, 0.261146, 0.261146, 0.232484, 0.245223
315, 83, 82, 73, 77, 0.263492, 0.260317, 0.231746, 0.244444
316, 83, 83, 73, 77, 0.262658, 0.262658, 0.231013, 0.243671
317, 84, 83, 73, 77, 0.264984, 0.26183, 0.230284, 0.242902
318, 84, 84, 73, 77, 0.264151, 0.264151, 0.22956, 0.242138
319, 85, 84, 73, 77, 0.266458, 0.263323, 0.22884, 0.241379
320, 86, 84, 73, 77, 0.26875, 0.2625, 0.228125, 0.240625
321, 86, 84, 73, 78, 0.267913, 0.261682, 0.227414, 0.242991
322, 86, 85, 73, 78, 0.267081, 0.263975, 0.226708, 0.242236
323, 87, 85, 73, 78, 0.26935, 0.263158, 0.226006, 0.241486
324, 87, 85, 74, 78, 0.268519, 0.262346, 0.228395, 0.240741
325, 87, 85, 75, 78, 0.267692, 0.261538, 0.230769, 0.24
326, 88, 85, 75, 78, 0.269939, 0.260736, 0.230061, 0.239264
327, 88, 85, 75, 79, 0.269113, 0.259939, 0.229358, 0.24159
328, 88, 86, 75, 79, 0.268293, 0.262195, 0.228659, 0.240854
329, 89, 86, 75, 79, 0.270517, 0.261398, 0.227964, 0.240122
330, 90, 86, 75, 79, 0.272727, 0.260606, 0.227273, 0.239394
331, 90, 87, 75, 79, 0.271903, 0.26284, 0.226586, 0.238671
332, 90, 87, 76, 79, 0.271084, 0.262048, 0.228916, 0.237952
333, 91, 87, 76, 79, 0.273273, 0.261261, 0.228228, 0.237237
334, 91, 88, 76, 79, 0.272455, 0.263473, 0.227545, 0.236527
335, 91, 88, 77, 79, 0.271642, 0.262687, 0.229851, 0.235821
336, 91, 89, 77, 79, 0.270833, 0.264881, 0.229167, 0.235119
337, 92, 89, 77, 79, 0.272997, 0.264095, 0.228487, 0.234421
338, 92, 89, 78, 79, 0.272189, 0.263314, 0.230769, 0.233728
339, 92, 89, 78, 80, 0.271386, 0.262537, 0.230088, 0.235988
340, 92, 90, 78, 80, 0.270588, 0.264706, 0.229412, 0.235294
341, 92, 90, 79, 80, 0.269795, 0.26393, 0.231672, 0.234604
342, 92, 90, 79, 81, 0.269006, 0.263158, 0.230994, 0.236842
343, 92, 91, 79, 81, 0.268222, 0.265306, 0.230321, 0.236152
344, 92, 91, 79, 82, 0.267442, 0.264535, 0.229651, 0.238372
345, 93, 91, 79, 82, 0.269565, 0.263768, 0.228986, 0.237681
346, 93, 91, 80, 82, 0.268786, 0.263006, 0.231214, 0.236994
347, 93, 92, 80, 82, 0.268012, 0.26513, 0.230548, 0.236311
348, 94, 92, 80, 82, 0.270115, 0.264368, 0.229885, 0.235632
349, 94, 93, 80, 82, 0.269341, 0.266476, 0.229226, 0.234957
350, 94, 93, 81, 82, 0.268571, 0.265714, 0.231429, 0.234286
351, 94, 93, 81, 83, 0.267806, 0.264957, 0.230769, 0.236467
352, 94, 93, 82, 83, 0.267045, 0.264205, 0.232955, 0.235795
353, 95, 93, 82, 83, 0.269122, 0.263456, 0.232295, 0.235127
354, 96, 93, 82, 83, 0.271186, 0.262712, 0.231638, 0.234463
355, 97, 93, 82, 83, 0.273239, 0.261972, 0.230986, 0.233803
356, 98, 93, 82, 83, 0.275281, 0.261236, 0.230337, 0.233146
357, 98, 93, 83, 83, 0.27451, 0.260504, 0.232493, 0.232493
358, 98, 93, 83, 84, 0.273743, 0.259777, 0.231844, 0.234637
359, 98, 93, 84, 84, 0.272981, 0.259053, 0.233983, 0.233983
360, 99, 93, 84, 84, 0.275, 0.258333, 0.233333, 0.233333
361, 99, 94, 84, 84, 0.274238, 0.260388, 0.232687, 0.232687
362, 99, 95, 84, 84, 0.273481, 0.262431, 0.232044, 0.232044
363, 100, 95, 84, 84, 0.275482, 0.261708, 0.231405, 0.231405
364, 100, 96, 84, 84, 0.274725, 0.263736, 0.230769, 0.230769
365, 101, 96, 84, 84, 0.276712, 0.263014, 0.230137, 0.230137
366, 101, 97, 84, 84, 0.275956, 0.265027, 0.229508, 0.229508
367, 101, 98, 84, 84, 0.275204, 0.26703, 0.228883, 0.228883
368, 101, 98, 84, 85, 0.274457, 0.266304, 0.228261, 0.230978
369, 101, 98, 85, 85, 0.273713, 0.265583, 0.230352, 0.230352
